DATE,T2M_MAX,YEAR,HEATWAVE,CITY,POPULATION
28-11-2002,26.11,2002,False,Kolkata,4565257
29-11-2002,26.07,2002,False,Kolkata,4565257
30-11-2002,26.42,2002,False,Kolkata,4565257
01-12-2002,26.27,2002,False,Kolkata,4565257
02-12-2002,25.58,2002,False,Kolkata,4565257
03-12-2002,25.18,2002,False,Kolkata,4565257
04-12-2002,25.03,2002,False,Kolkata,4565257
05-12-2002,24.55,2002,False,Kolkata,4565257
06-12-2002,24.91,2002,False,Kolkata,4565257
07-12-2002,24.99,2002,False,Kolkata,4565257
08-12-2002,24.57,2002,False,Kolkata,4565257
09-12-2002,24.33,2002,False,Kolkata,4565257
10-12-2002,24.61,2002,False,Kolkata,4565257
11-12-2002,24.18,2002,False,Kolkata,4565257
12-12-2002,24.24,2002,False,Kolkata,4565257
13-12-2002,24.5,2002,False,Kolkata,4565257
14-12-2002,24.35,2002,False,Kolkata,4565257
15-12-2002,24.51,2002,False,Kolkata,4565257
16-12-2002,24.89,2002,False,Kolkata,4565257
17-12-2002,24.77,2002,False,Kolkata,4565257
18-12-2002,25.61,2002,False,Kolkata,4565257
19-12-2002,26.69,2002,False,Kolkata,4565257
20-12-2002,27.64,2002,False,Kolkata,4565257
21-12-2002,27.12,2002,False,Kolkata,4565257
22-12-2002,26.09,2002,False,Kolkata,4565257
23-12-2002,24.67,2002,False,Kolkata,4565257
24-12-2002,24.92,2002,False,Kolkata,4565257
25-12-2002,24.92,2002,False,Kolkata,4565257
26-12-2002,25.26,2002,False,Kolkata,4565257
27-12-2002,24.34,2002,False,Kolkata,4565257
28-12-2002,23.85,2002,False,Kolkata,4565257
29-12-2002,23.28,2002,False,Kolkata,4565257
30-12-2002,22.85,2002,False,Kolkata,4565257
31-12-2002,23.37,2002,False,Kolkata,4565257
01-01-2003,19.27,2003,False,Kolkata,4557639
02-01-2003,23.18,2003,False,Kolkata,4557639
03-01-2003,24.56,2003,False,Kolkata,4557639
04-01-2003,24.62,2003,False,Kolkata,4557639
05-01-2003,21.96,2003,False,Kolkata,4557639
06-01-2003,22.69,2003,False,Kolkata,4557639
07-01-2003,22.88,2003,False,Kolkata,4557639
08-01-2003,22.5,2003,False,Kolkata,4557639
09-01-2003,21.47,2003,False,Kolkata,4557639
10-01-2003,21.54,2003,False,Kolkata,4557639
11-01-2003,21.43,2003,False,Kolkata,4557639
12-01-2003,21.39,2003,False,Kolkata,4557639
13-01-2003,22.15,2003,False,Kolkata,4557639
14-01-2003,23.03,2003,False,Kolkata,4557639
15-01-2003,22.81,2003,False,Kolkata,4557639
16-01-2003,23.62,2003,False,Kolkata,4557639
17-01-2003,23.91,2003,False,Kolkata,4557639
18-01-2003,24.98,2003,False,Kolkata,4557639
19-01-2003,25.62,2003,False,Kolkata,4557639
20-01-2003,24.73,2003,False,Kolkata,4557639
21-01-2003,24.25,2003,False,Kolkata,4557639
22-01-2003,23.68,2003,False,Kolkata,4557639
23-01-2003,25.35,2003,False,Kolkata,4557639
24-01-2003,26.22,2003,False,Kolkata,4557639
25-01-2003,26.61,2003,False,Kolkata,4557639
26-01-2003,25.99,2003,False,Kolkata,4557639
27-01-2003,27.22,2003,False,Kolkata,4557639
28-01-2003,27.79,2003,False,Kolkata,4557639
29-01-2003,28.07,2003,False,Kolkata,4557639
30-01-2003,26.97,2003,False,Kolkata,4557639
31-01-2003,28.86,2003,False,Kolkata,4557639
01-02-2003,29.93,2003,False,Kolkata,4557639
02-02-2003,30.42,2003,False,Kolkata,4557639
03-02-2003,30.54,2003,False,Kolkata,4557639
04-02-2003,31.35,2003,False,Kolkata,4557639
05-02-2003,26.78,2003,False,Kolkata,4557639
06-02-2003,28.94,2003,False,Kolkata,4557639
07-02-2003,28.97,2003,False,Kolkata,4557639
08-02-2003,29.87,2003,False,Kolkata,4557639
09-02-2003,29.86,2003,False,Kolkata,4557639
10-02-2003,29.75,2003,False,Kolkata,4557639
11-02-2003,30.86,2003,False,Kolkata,4557639
12-02-2003,30.73,2003,False,Kolkata,4557639
13-02-2003,29.4,2003,False,Kolkata,4557639
14-02-2003,29.02,2003,False,Kolkata,4557639
